book_title|x|y
Eleanor Roosevelt, Volume 1: The Early Years, 1884-1933 (Eleanor Roosevelt #1)|240193|190658
The Gathering Storm (Crown of Stars #5)|137026|250263
Montana SEAL (Brotherhood Protectors #1)|355239|246791
Paradise (Second Opportunities #1)|392470|310540
Secrets (Web of Sin #1)|383903|243195
Avatar: The Last Airbender - The Promise, Part 2 (Avatar: The Last Airbender comics: The Promise #2)|224306|364272
The Sunday Philosophy Club (Isabel Dalhousie #1)|301509|169631
Best Kind of Broken (Finding Fate #1)|395362|248821
Yvette's Haven (Scanguards Vampires #4)|360277|297778
Empower (The Violet Eden Chapters #5)|291048|327652
Highlander Unchained (MacLeods of Skye Trilogy #3)|393790|311237
The Eye in the Door (Regeneration #2)|235213|222116
Pinball, 1973 (The Rat #2)|217118|215839
Anne McCaffrey's Dragonflight #3 (Anne McCaffrey's Dragonflight #3)|138653|251406
Becoming (Otherworld Stories #0.09)|343675|319211
Home to Big Stone Gap (Big Stone Gap #4)|284292|220136
All the Ways to Ruin a Rogue (The Debutante Files #2)|402505|316119
Tintin in Tibet (Tintin #20)|212998|256359
Along Came a Spider (Alex Cross #1)|277897|161376
The Mystery Off Glen Road (Trixie Belden #5)|225129|284223
Sacred and Profane (Peter Decker/Rina Lazarus #2)|283809|157673
Can I Play Too? (Elephant & Piggie #12)|233552|297331
The Memory of You (Sanctuary Sound #1)|333482|212109
The Hurricane Sisters (Lowcountry Tales #10)|293930|225275
The Heart of a Woman (Maya Angelou's Autobiography #4)|240963|209733
The Sweet Dreams Bake Shop (Sweet Cove Mystery #1)|337476|209982
The Hollow Chocolate Bunnies of the Apocalypse (Eddie Bear #1)|167139|254739
Flying Too High (Phryne Fisher #2)|310669|156855
The Phoenix Transformed (Enduring Flame #3)|135242|254406
The Playboy (Chandler Brothers #2)|385758|298578
My Childhood (Autobiography #1)|207749|223365
Protector of the Small (Protector of the Small #1-4)|224493|328156
Vows and Honor (Valdemar: Vows and Honor #1-2)|136955|253852
The Last Oracle (Sigma Force #5)|265103|154162
The Expanse (The Frontiers Saga (Part 1): Discovery #7)|142818|224601
Double Share (Golden Age of the Solar Clipper #4)|142829|232921
The Story of the Amulet (Five Children #3)|224936|281919
Risk No Secrets (Black Ops Inc. #5)|381757|297420
Absolution (The Protectors #1)|395696|202491
Wisdom (My Blood Approves #4)|297102|330673
On Her Father's Grave (Rogue River #1)|334179|205158
Accidental Abduction (Alien Abduction #1)|355682|291120
Swallowing Darkness (Merry Gentry #7)|348133|312507
Fearless (The Lost Fleet #2)|144361|236412
Ottoline and the Yellow Cat (Ottoline #1)|374046|280761
Loose Ends (Mary O’Reilly #1)|333667|291852
Desire of the Everlasting Hills: The World Before and After Jesus (The Hinges of History #3)|240883|185866
Turbulent Sea (Drake Sisters #6)|362180|306807
V for Vendetta (V for Vendetta #1-10)|180097|276647
Heartstopper: Volume Four (Heartstopper #4)|269576|307811
The Perfect Alibi (Robin Lockwood #2)|295018|206159
Insignia (Insignia #1)|277963|329251
Dance Hall of the Dead (Leaphorn & Chee #2)|295781|157294
Forbidden Disclosure (A Billionaire in Disguise #1)|355894|245777
Sea Star: Orphan of Chincoteague (Misty #2)|224585|281841
Garment of Shadows (Mary Russell and Sherlock Holmes #12)|305841|164288
Crux (Nexus #2)|158565|238121
DMZ, Vol. 1: On the Ground (DMZ #1)|176285|281061
Darkness Rising (Dark Angels #2)|344145|313186
The Knight (The Patrick Bowers Files #3)|277928|263196
Midnight Falcon (The Rigante #2)|144355|236856
Fables, Vol. 9: Sons of Empire (Fables)|180468|280500
A Line To Kill (Hawthorne and Horowitz Investigate  #3)|278105|213729
The Borders of Infinity (Vorkosigan Saga (Publication Order) #5.3)|145211|246016
Tucker's Way (Tucker #1)|337623|207011
