book_title|x|y
The Human Stain (Complete Nathan Zuckerman #8)|227007|220606
Joheved (Rashi’s Daughters #1)|272770|210815
Little Men (Little Women #2)|226715|281118
Heidi (Heidi #1-2)|225153|280578
The House by the Lake (Secrets of Paris Series #2)|328520|210273
Swamp Thing, Vol. 3: The Curse (Swamp Thing (1982) (Collected Editions) #3)|178580|278507
Heaven Cent (Xanth #11)|136489|249836
Dark Promise (Between Worlds #1)|307618|318046
Bone, Vol. 2: The Great Cow Race (Bone #2)|187580|287011
500 Miles from You (Kirrinfief #3)|285936|218479
More Fool Me (Memoir #3)|188110|226799
The Good Soldier Švejk (The Fateful Adventures of the Good Soldier Švejk During the World War #1-4)|211349|223855
Torrent (Condemned #1)|381334|246048
Raze (Scarred Souls #1)|388052|252790
The Arm of the Starfish (O'Keefe Family #1)|225103|285922
Sycamore Row (Jake Brigance #2)|277240|164340
The Red Pyramid (The Kane Chronicles #1)|244180|327484
The Lake (The Lake Trilogy #1)|349411|238785
Bite of Winter (Fae's Captive #3)|328943|291212
Daughters of Darkness (Night World #2)|291078|337950
The Complete Monty Python's Flying Circus: All the Words: Volume 1 (The Complete Monty Python's Flying Circus #1)|185976|265763
Genesis (First Colony #1)|141650|223708
Spell or High Water (Magic 2.0 #2)|145532|226942
Southern Storm (Cape Refuge #2)|280209|259519
Dark Harbor (Stone Barrington #12)|281193|156924
44 Scotland Street (44 Scotland Street #1)|301417|168866
Children of God (The Sparrow #2)|238185|219258
Steelheart (The Reckoners #1)|146052|231670
The King of Bones and Ashes (Witches of New Orleans #1)|335258|198145
Broken Justice (Justice Brothers #1)|358602|249179
Elite (Eagle Elite #1)|391835|252398
Through the Evil Days (The Rev. Clare Fergusson & Russ Van Alstyne Mysteries #8)|305592|168805
Out of Darkness (Heaven Hill #2)|384135|263003
Still Life With Murder (Nell Sweeney Mysteries #1)|341863|202896
Uncle Tungsten (Oliver Sacks' memoirs #1)|221712|195329
Gray Back Ghost Bear (Gray Back Bears #3)|352039|282855
The Rescue (Ryan Decker #1)|333200|199191
Inside Out (Insiders #1)|283812|328583
The Dead (The Wilds #3)|326495|298267
Mars, Vol. 1 (マース / Mars #1)|225010|371059
Red Kayak (Red Kayak)|243038|307533
A Shiver of Light (Merry Gentry #9)|346222|310711
Luca Vitiello (Born in Blood Mafia Chronicles #0)|385053|242364
Dead Man's Footsteps (Roy Grace  #4)|303411|182665
Prep School Confidential (Prep School Confidential #1)|279813|324169
The World of Ice & Fire: The Untold History of Westeros and the Game of Thrones (A Song of Ice and Fire #0)|154145|233740
I Don't Want to Kill You (John Cleaver #3)|148062|229978
The Yada Yada Prayer Group Gets Real (The Yada Yada Prayer Group #3)|280208|259095
Satisfaction (Temptation #2)|396607|260715
Every Which Way (Sloan Brothers #1)|401074|256764
Book Lust: Recommended Reading for Every Mood, Moment, and Reason (Book Lust)|240244|200623
Hangman (Peter Decker/Rina Lazarus #19)|282987|158078
Before I Wake (Shield of Honor #1)|280199|262189
The Headless Ghost (Goosebumps #37)|223251|311348
The Legend of Luke (Redwall #12)|235240|330697
Not Quite Perfect (Not Quite #5)|344602|224385
Likely To Die (Alexandra Cooper #2)|284718|158104
Black Science, Vol. 1: How to Fall Forever (Black Science #1)|180071|286843
Hidden (Hidden Trilogy #1)|324801|295039
The Score (Parker #5)|250639|181995
Starclimber (Matt Cruse #3)|236939|328199
Obelix and Co. (Astérix #23)|210716|256363
Hard to Love (Hard to Love #1)|391896|259096
Crying Wolf (Black River Pack #1)|361615|267403
Sword of Ice and Other Tales of Valdemar (Tales of Valdemar #1)|135234|252714
Tempted (Pregnancy & Passion #3)|380465|281023
Discount Armageddon (InCryptid #1)|338750|314863
Cross Her Heart (Bree Taggert #1)|331869|204338
Anna K: A Love Story (Anna K #1)|276056|295173
Wayside School Is Falling Down (Wayside School #2)|227161|299720
William Shakespeare's The Empire Striketh Back (William Shakespeare's Star Wars #5)|161980|264164
The Chapel Perilous (The Iron Druid Chronicles #4.5)|144565|232519
Redneck Romeo (Rough Riders #15)|381477|278120
Up Country (Paul Brenner #2)|268384|160178
Half-Blood (Darkblood Academy #1)|327045|296043
The Case of the Peculiar Pink Fan (Enola Holmes #4)|238765|323835
Harleen (Harleen #1-3)|181910|288919
Firewalker (Worldwalker #2)|285126|322790
Dirty Red (Love Me with Lies #2)|396113|247975
The Blight of Muirwood (Legends of Muirwood #2)|320200|290496
Ghost in the Shell (Ghost in the Shell #1)|178305|278084
Swamp Bones (Temperance Brennan #16.5)|284345|155960
The Nature of the Beast (Chief Inspector Armand Gamache #11)|296060|171580
Demons (Devil's Reach #2)|377833|248091
Jordan (Buckhorn Brothers #4)|380743|286665
100 Bullets, Vol. 5: The Counterfifth Detective (100 Bullets, Vol. 1 #1-100 (1999-2009) #5)|178178|282426
Dead on Demand (DCI Morton #1)|338845|199290
In a Dry Season (Inspector Banks #10)|302045|172308
The Melancholy of Haruhi Suzumiya, Vol. 1 (The Melancholy of Haruhi Suzumiya #1)|218330|373236
The Almost Wives Club (The Almost Wives Club #1)|348101|238199
Frost Burn (Fire and Ice #1)|323326|298395
Riding the Storm (ACRO #1)|360853|301787
Damaged Like Us (Like Us #1)|395451|204090
The Reluctant Assassin (W.A.R.P. #1)|241996|332415
No Quick Fix (Torus Intercession #1)|393971|198894
One by One (Robert Hunter #5)|307182|190353
Penric's Demon (Penric and Desdemona (Publication order) #1)|153015|243135
Breach of Duty (J.P. Beaumont #14)|279187|153590
Gaudy Night (Lord Peter Wimsey #10)|304754|160904
The Wolf in Winter (Charlie Parker #12)|274691|159476
Ivan: The Remarkable True Story of the Shopping Mall Gorilla (The One and Only Ivan)|240760|298235
Ouran High School Host Club, Vol. 15 (桜蘭高校ホスト部 #15)|224582|372786
St. Nacho's (St. Nacho's #1)|399119|196641
Duncton Wood (Duncton Chronicles #1)|176718|225096
A Promised Land (The Presidential Memoirs #1)|248644|204583
Undeniably Yours (Kowalski Family #2)|384151|278258
You Can't Scare Me! (Goosebumps #15)|224030|311288
Get off on the Pain (Pain #1)|388864|255330
How to Knit a Love Song (Cypress Hollow Yarn #1)|335330|213366
Bluegate Fields (Charlotte & Thomas Pitt #6)|306643|162770
The Civil War, Vol. 2: Fredericksburg to Meridian (The Civil War #2)|236012|185669
Fix Her Up (Hot & Hammered #1)|280041|299826
The Diary of Darcy J. Rhone (Darcy & Rachel #0.5)|291451|202821
Emily Climbs (Emily #2)|227084|282926
Three Men on the Bummel (Three Men #2)|206925|234414
The Labours of Hercules (Hercule Poirot #27)|307955|156876
Best Friends (Friends #2)|245517|305303
Under a Falling Star (Prairie Hearts  #4)|332566|212950
Lexi, Baby (This Can't Be Happening #1)|397549|258138
Fear Itself (Fear Itself #1)|173700|289499
The Lady With the Little Dog and Other Stories, 1896-1904 (Tales of Chekhov #3)|209929|224263
Murder on Mulberry Bend (Gaslight Mystery #5)|308452|162996
Love at Furst Sight (Built Fur Love #1)|348276|281383
Ramona and Her Mother (Ramona Quimby #5)|224465|296898
Seven Deadly Wonders (Jack West Jr #1)|264698|152889
Rainwater Kisses (The Kisses #2)|358742|247848
Masterminds (Masterminds #1)|246416|307514
The Minority Council (Matthew Swift #4)|148854|235117
Elicit (Eagle Elite #4)|390393|251061
The Boy (Broussard and Fourcade  #2)|285104|170828
The Department of Sensitive Crimes (Detective Varg #1)|302893|173097
Wolfsbane (Nightshade #2)|291710|331059
Kiss of the Night (Dark-Hunter #4)|356806|305561
Peter and the Shadow Thieves (Peter and the Starcatchers #2)|239382|327241
The Passage (The Passage #1)|181616|244315
Down to You (The Bad Boys #1)|394420|256131
The Knight and the Dove (Kensington Chronicles #4)|281006|264437
Rescuing Wendy (Delta Force Heroes #8)|358919|253300
The Song of the Quarkbeast (The Last Dragonslayer #2)|168114|247916
The Bean Trees (Greer Family #1)|251240|214139
The Arrangement 8: The Ferro Family (The Arrangement #8)|394259|259131
Crossfire Boxed Set (Crossfire #1-3)|394433|261666
The Key (Deed #2)|393476|312425
The Last Librarian (The Justar Journal #1)|337174|195407
This Dark Endeavor (The Apprenticeship of Victor Frankenstein #1)|276771|328752
The Guestbook (Madrona Island #1)|342294|224489
Virals (Virals #1)|280683|333314
Little Bear (Little Bear #1)|226203|287071
Animal Man, Vol. 1 (Animal Man (1988-1995) #1)|174011|280987
Ultimate Fantastic Four, Volume 1: The Fantastic (Ultimate Fantastic Four (Collected Editions))|173981|287781
Superman – Action Comics, Volume 1: Superman and the Men of Steel (Action Comics (2011))|173052|286454
Ghosts (Hell Divers #2)|152650|226271
Deep Storm (Jeremy Logan #1)|269002|154319
The Black Stallion (The Black Stallion #1)|223498|282018
Reunion in Death (In Death #14)|377753|318273
Splat the Cat (Splat the Cat #1)|228273|296829
Comanche Moon (Comanche #1)|394319|310395
Out of the Shallows (Into the Deep #2)|398487|254153
The Mystery Boxes (Explorer #1)|239229|306851
For The Love Of An Outlaw (Outlaw Shifters #1)|349560|279444
The Marriage Contract (The O'Malleys #1)|383320|259211
Grave Witch (Alex Craft #1)|341851|312367
Justice (Peter Decker/Rina Lazarus #8)|284365|156380
The Heiress (Montgomery/Taggert (Publication order)  #22)|390731|313284
Violet's Wish (Oklahoma Land Rush #2)|331989|212666
Double Shot (Goldy Bear Culinary Mystery #12)|364355|329495
Little Face (Spilling CID #1)|300994|212172
Park Avenue Prince (The Royals #2)|383611|243619
The Countess Conspiracy (Brothers Sinister #3)|403134|314727
The Maze Runner (The Maze Runner #1)|267674|329012
Orphan Star (Pip & Flinx #3)|142436|247385
Amber to Ashes (Torn Hearts #1)|396509|250092
The Leopard Prince (Princes #2)|399651|312590
Nana, Vol. 8 (Nana #8)|219482|373681
The Summer King (The Chronicles of Faerie #2)|289109|337071
Beautiful Disaster (The Bet #1)|400486|254543
The Highwayman (Saga of the First King #1)|126541|247207
Zircon (Awakened Sea Dragons #1)|350051|282261
Alex (Camille Verhœven #2)|299987|193326
The Rise of Magicks (Chronicles of The One #3)|374487|315553
Into the Night (Troubleshooters #5)|383579|305243
Marked (Eternal Guardians #1)|356746|295011
Legacy (The Sharing Knife #2)|140840|248728
Night Star (The Immortals #5)|294325|332636
Promises After Dark (After Dark #3)|395973|264533
Gettysburg (Gettysburg #1)|253762|161788
Straight from the Hip (Lone Star Sisters #3)|385416|299913
Alex + Ada, Vol. 1 (Alex + Ada #1-5)|182528|288055
Strange Candy (Anita Blake, Vampire Hunter #0.5)|348150|313783
Finlay Donovan Is Killing It (Finlay Donovan #1)|287695|215133
Primal (Nightshade #1.5)|360303|301363
Vain - Part Three (Vain #3)|395102|264107
The Last Town (Wayward Pines #3)|326144|197746
Standing in the Rainbow (Elmwood Springs #2)|277365|211617
Magic for Nothing (InCryptid #6)|336461|311768
The Cleric Quintet Collector's Edition (The Cleric Quintet #1-5 omnibus)|130786|247777
Happy! (Happy! #1-4)|177318|282498
Pushing the Limits (Pushing the Limits #1)|399618|258558
Pretty Guardian Sailor Moon, Vol. 4 (美少女戦士セーラームーン 新装版 / Bishōjo Senshi Sailor Moon Shinsōban #4)|221372|375845
Royal Bastards (Royal Bastards #1)|271731|313730
Skip Beat!, Vol. 02 (Skip Beat! #2)|225856|369803
Untamed (Unbeautiful #2)|397686|252627
The Perilous Sea (The Elemental Trilogy #2)|282844|322670
Broken Glass (Nik Pohl #1)|327574|197788
Being Me (Inside Out #2)|392764|259095
The Deed of Paksenarrion (Paksenarrion #3-5)|140859|245444
Full Wolf Moon (Jeremy Logan #5)|265765|151078
Unmasking Miss Appleby (Baleful Godmother #1)|345316|234355
Low, Vol. 1: The Delirium of Hope (Low #1)|181987|283457
Burned by Her Devotion (Rogue Vows #2)|334512|204264
The Mafia And His Angel: Part 2 (Tainted Hearts #2)|379681|239032
Black Rainbow (Rainbows #1)|389423|247673
Beyond Jealousy (Beyond #4)|365226|280702
Fire in the Darkness (Darkness #2)|320767|303108
Willing Victim (Flynn and Laurel #1)|387104|278482
Sin & Surrender (Demigods of San Francisco #6)|331219|295252
Riot (Scarred Souls #4)|388267|247254
The Cat Who Brought Down the House (The Cat Who... #25)|310026|159027
Wanting (Wanting #1)|397367|194582
In His Shadow (The Tangled Ivy Trilogy #1)|337638|206233
The Upper Room (Mama Ruby #2)|252074|194075
The Hostile Hospital (A Series of Unfortunate Events #8)|243536|324239
The Big Kahuna (Fox and O'Hare #6)|369256|322164
Shadowhunters and Downworlders: A Mortal Instruments Reader (Shadowhunter Chronicles)|279213|320020
The Shakespeare Stealer (The Shakespeare Stealer #1)|235036|314785
Size 12 Is Not Fat (Heather Wells #1)|272003|332237
Bleak Harbor (Bleak Harbor #1)|327404|200111
Hana-Kimi: For You in Full Blossom, Vol. 22 (Hana-Kimi #22)|226021|373639
Runaways, Vol. 7: Live Fast (Runaways (2003-2009) (Collected Editions))|179528|289921
Close to You (Laurel Heights #2)|380643|268548
Princess in Pink (The Princess Diaries #5)|269737|334675
Someone Like You (Oxford #3)|385630|242362
Close to Home (Westen #1)|347995|235201
Fashionably Dead in Diapers (Hot Damned #4)|333906|297979
Heir of Fire (Throne of Glass #3)|283170|317459
North and South (North and South #1)|262612|178276
Christmas Cake Murder (Hannah Swensen #23)|365072|327067
Inside Affair (Prime Time #1)|394176|201578
Hana-Kimi: For You in Full Blossom, Vol. 5 (Hana-Kimi #5)|224859|374989
Elusion (Facets of Feyrie #1)|327905|295322
Boy Nobody (The Unknown Assassin #1)|251210|332985
Irresistible (Buchanans #2)|384568|297188
Player's Handbook: Core Rulebook 1 (Dungeons & Dragons)|132635|250559
Meet Kit: An American Girl 1934 (American Girl: Kit #1)|223416|301541
Nightmares! (Nightmares! #1)|245418|315064
Darker Still (Magic Most Foul #1)|283982|331985
Naamah's Blessing (Naamah Trilogy #3)|136564|256178
Illuminae (The Illuminae Files #1)|271405|315423
The Bone Season (The Bone Season #1)|278413|322002
The Castlemaine Murders (Phryne Fisher #13)|309406|155347
Fever (Songbird #1)|368356|245563
The Whitechapel Fiend (Tales from the Shadowhunter Academy #3)|277620|319084
Heaven's Wager (Martyr's Song #1)|274055|262166
The Revolving Door of Life (44 Scotland Street #10)|301178|172191
The Prince of Tennis, Volume 1: Ryoma Echizen (The Prince of Tennis #1)|221494|372031
Fifty Shades Freed (Fifty Shades #3)|388465|263004
Postwar: A History of Europe Since 1945 (Postwar: A History of Europe Since 1945 #1-4)|231783|191781
Omega (Alpha #3)|393569|254865
Feedback (Variant #2)|282499|333269
Crystal Gorge (The Dreamers #3)|133493|248025
Sterling (Mageri #1)|330244|301407
Dare to Hold (Dare to Love #4)|374910|270993
Monster Nation (Monster Island #2)|181514|247083
The Virgin in the Ice (Chronicles of Brother Cadfael #6)|306096|160054
Dead Stop (Sydney Rose Parnell #2)|332594|200759
The Red Hat Club (Red Hat Club #1)|293657|225703
In Pursuit of Eliza Cynster (The Cynster Sisters Trilogy #2)|396286|315301
Relentless (Tina Boyd #2)|284961|262780
The Winter King (The Warlord Chronicles #1)|172325|208117
Black Orchid (Black Orchid #Prestige)|179731|275681
The Long Mars (The Long Earth #3)|157425|245538
Rise of the Alliance (The Frontiers Saga (Part 1): Discovery #12)|143129|224181
One Night in Winter (Moscow Trilogy #3)|308512|223775
Full Scoop (Full #6)|374035|319257
Deadly Pursuit (Guardians of Justice #2)|282770|263549
No Tomorrow (All the Tomorrows #1)|378801|242430
The Outcast Dead (Ruth Galloway #6)|303753|171162
Crown of Crystal Flame (Tairen Soul #5)|342031|308653
Bauchelain and Korbal Broach (The Tales of Bauchelain and Korbal Broach #1-3)|147482|236151
Cat Among the Pigeons (Hercule Poirot #36)|308028|161099
Dylan (Inked Brotherhood #4)|389141|254875
Secret Coders (Secret Coders #1)|241395|305108
Rebel Heir (Rush Duet #1)|383884|245005
A Mutiny in Time (Infinity Ring #1)|243538|330247
Marlfox (Redwall #11)|236129|330852
The Fiery Heart (Bloodlines #4)|293709|328190
Lethal Outlook (Psychic Eye Mystery #10)|360644|324799
A Spell of Trouble (Silver Hollow #1)|332581|292664
The Remains of the Dead (A Ghost Dusters Mystery #1)|359805|327836
Marriage of Inconvenience (Knitting in the City #7)|383622|239816
The Son (Divergent #0.3)|280349|325976
Blush for Me (Fusion #3)|386086|250626
Once and Always (Sequels #1)|395389|310131
The Pirate's Wish (The Assassin's Curse #2)|283041|324996
Giant Days, Vol. 3 (Giant Days (Single Issues) #9-12)|189126|288348
Polgara the Sorceress (Belgariad Prequels)|136509|248994
Kimi ni Todoke: From Me to You, Vol. 8 (君に届け [Kimi ni Todoke] #8)|221329|374998
Heretic (Grail Quest #3)|171766|206694
Tempest Rising (Jane True #1)|343057|318852
Devoted (Elixir #2)|294647|328149
Boy: Tales of Childhood (Roald Dahl's Autobiography #1)|222300|284424
Ancestral Night (White Space #1)|161761|236547
Swell Foop (Xanth #25)|135398|251020
The House of Silk (Horowitz's Holmes #1)|299982|168352
Ten Tiny Breaths (Ten Tiny Breaths #1)|397395|252208
City of Heavenly Fire (The Mortal Instruments #6)|288726|323079
Invincible, Vol. 5: The Facts of Life (Invincible)|175681|286608
Emma's Secret (Emma Harte Saga #4)|302675|236698
Jack of Fables, Vol. 6: The Big Book of War (Jack of Fables #6)|174861|280981
Stoned (Wrecked #1)|381561|240201
Accidental Tryst (Charleston #1)|384691|237866
Wolf Signs (Granite Lake Wolves #1)|356979|296193
Bloodsucking Fiends (A Love Story #1)|175492|252462
Chimera (Parasitology #3)|170890|240204
Rise of the Corinari (The Frontiers Saga (Part 1): Discovery #5)|144047|225021
Monstress, Vol. 2: The Blood (Monstress #2)|185241|284080
A Man Betrayed (The Book of Words #2)|134343|247803
The Bloom County Library, Vol. 1: 1980-1982 (Bloom County: The Complete Library #1)|186859|270132
The Isle of Illusion (Deltora Shadowlands #2)|237834|333907
Swords in the Mist (Fafhrd and the Gray Mouser #3)|151521|250117
Silent Mercy (Alexandra Cooper #13)|283182|157229
Awakened and Betrayed (The Lost Sentinel #2)|329342|295279
The Ghost Files 3 (The Ghost Files #3)|342949|204236
The Great Bazaar and Other Stories (The Demon Cycle #1.6)|144703|234482
Choosing Theo (Clecanian #1)|346719|284216
No Limits (Ultimate #1)|382518|285329
The Thief Who Pulled on Trouble's Braids (Amra Thetys #1)|153662|233129
Bones of the Hills (Conqueror #3)|171431|208073
Beguilement (The Sharing Knife #1)|141580|249117
Undeniably Yours (Porter Family #1)|283525|265328
Bad for You (Sea Breeze #7)|391531|255776
Better than Life (Red Dwarf #2)|163908|249640
Gunmetal Gray (Gray Man #6)|270193|156587
Heller's Revenge (Heller #2)|402858|251808
If She Knew (Kate Wise  #1)|336451|200401
The Hades Factor (Covert-One #1)|263510|156819
You Only Live Twice (James Bond (Original Series) #12)|249319|166860
The Adventures of Tom Sawyer and Adventures of Huckleberry Finn (Adventures of Tom and Huck #1-2)|212317|237034
Mirror Dance (Vorkosigan Saga (Publication Order) #8)|147271|246597
Light (Kefahuchi Tract #1)|162720|243844
Generation Dead (Generation Dead #1)|282439|336619
Dealing with Dragons (Enchanted Forest Chronicles #1)|225053|325246
Death of a Policeman (Hamish Macbeth  #29)|311365|160552
They Called Her Mrs. Doc (Women of the West #5)|278772|263290
Lawe's Justice (Breeds #18)|360293|301790
The Corner Shop in Cockleberry Bay (Cockleberry Bay #1)|325942|200907
The King Stag (The Mists of Avalon #3)|326745|174840
Ambush at Corellia (Star Wars: The Corellian Trilogy #1)|124374|250051
Killer Jam (Dewberry Farm  #1)|333756|212530
Revealed: The Missing Years (Consequences #4)|395068|251461
All I Am: Drew's Story (This Man #3.5)|387298|242802
Shadow Games (The Chronicles of the Black Company #4)|146528|239215
Overtime (Laundry Files #3.5)|158352|240367
Crush (Crave #2)|277053|310331
Echoes in Death (In Death #44)|373439|317097
Wicked Forest (De Beers #2)|284877|242915
Afternoon on the Amazon (Magic Tree House #6)|229617|308080
Murder at Monticello (Mrs. Murphy #3)|361530|330380
Dark of Night (Troubleshooters #14)|383471|304823
All He Ever Desired (Kowalski Family #5)|383561|286933
How to Capture a Duke (Matchmaking for Wallflowers #1)|342961|233718
White Jazz (L.A. Quartet #4)|220086|214499
Fullmetal Alchemist, Vol. 4 (Fullmetal Alchemist #4)|222560|365898
Bound (Fire on Ice #1)|393844|256553
Nighty-Nightmare (Bunnicula #4)|222557|297110
Rage and Ruin (The Harbinger #2)|281154|314122
The Long Arm of Gil Hamilton (Known Space)|150575|248508
Christmas in Absaroka County (Walt Longmire #8.1)|276762|154687
Tonic (Tonic #1)|378042|240258
Against All Things Ending (The Last Chronicles of Thomas Covenant #3)|146177|249188
Nory Ryan's Song (Nory Ryan #1)|239117|293624
Arthurian Romances (Arthurian Romances)|209902|231301
Love, Ruby Lavender (Aurora County #1)|240422|308525
Identity (Eyes Wide Open #1)|275647|263540
I Survived the Attacks of September 11th, 2001 (I Survived #6)|234420|311995
Liberty Falling (Anna Pigeon  #7)|288354|155196
Adventure Time Vol. 1 (Adventure Time (Collected Editions))|182944|290600
Two Truths and a Lie (The Lying Game #3)|274121|336438
Wyrd Sisters: The Play (Discworld Stage Adaptations)|158903|248005
Revenge of the Spellmans (The Spellmans #3)|359486|328696
Inside the Shadow City (Kiki Strike #1)|262166|332835
Bay of Sighs (The Guardians Trilogy #2)|376454|314639
Giant Days, Vol. 9 (Giant Days #9)|186578|287594
Allergic to Girls, School, and Other Scary Things (Alvin Ho #1)|243407|306118
To Win Her Favor (Belle Meade Plantation #2)|281693|264820
The Far Side® Gallery 5 (The Far Side Gallery Anthologies #5)|191394|268745
Attack on Titan, Vol. 16 (進撃の巨人 [Shingeki no Kyojin] #16)|220824|364319
Gentry (Wolves of Winter's Edge  #1)|350115|278494
Fables, Vol. 15: Rose Red (Fables)|181905|280933
Illegal Contact (The Barons #1)|397450|200596
Found (Magic Thief #3)|240005|328555
Attack on Titan, Vol. 2 (進撃の巨人 [Shingeki no Kyojin] #2)|221402|364328
The Brilliant World of Tom Gates (Tom Gates #1)|180967|290990
Sold To The Berserkers (Berserker Saga #1)|350448|277183
Phoenix (Vlad Taltos #5)|146173|243329
Muffin Top (The Hartigans #2)|383000|238545
You Make Me (Blurred Lines #1)|393609|257862
The Scent of Jasmine (Edilean #4)|388947|314872
Her Two Billionaires (Her Billionaires #1c)|392988|265043
After (After #1)|391330|243208
Out of Control (Troubleshooters #4)|382989|309530
The Valley of the Lost (Deltora Quest #7)|238374|334011
Rescue Me (Heathens Ink #1)|395051|201157
Silent Child (Silent Child #1)|325482|202213
Three to Get Deadly (Stephanie Plum #3)|374196|322509
The Princes of Ireland (The Dublin Saga #1)|269818|192789
Perilous Shield (The Lost Stars #2)|144474|235974
The Christmas Secret (Christmas Hope #5)|294544|241534
The Library of the Unwritten (Hell's Library #1)|166852|234041
The Prisoner of Cell 25 (Michael Vey #1)|243910|326356
Edvard Munch: 1863-1944 (Meesterlijk Modern #5)|205442|208527
The Rebels of Ireland (The Dublin Saga #2)|267957|190410
Sin City, Vol. 4: That Yellow Bastard (Sin City #4)|179890|277492
Bitter Moon (The Huntress/FBI Thrillers #4)|329865|197578
Sinners at the Altar (Sinners on Tour #6)|391344|261639
The Bluebird and the Sparrow (Women of the West #10)|278415|264569
The Destroyer (The Destroyer #1)|141847|225442
Death and the Dancing Footman (Roderick Alleyn #11)|308929|159504
Burn for Me (Fighting Fire #1)|390461|262064
Orange 3 (Orange #3)|225085|369788
New York (Deceived #1)|394404|262088
Dead Man's Walk (Lonesome Dove #3)|262249|164850
Disney at Dawn (Kingdom Keepers #2)|242879|325928
A Kingdom of Exiles (Outcast)|323937|296342
Deadline (Virgil Flowers #8)|275834|157818
Dawn Girl (Special Agent Tess Winnett  #1)|335200|201344
The Reverend's Wife (Reverend Curtis Black #9)|253415|189710
The Stopover (The Miles High Club #1)|372479|242542
Lenobia's Vow (House of Night Novellas #2)|293292|335500
Bad Hare Day (Goosebumps #41)|223351|309992
Under a Graveyard Sky (Black Tide Rising #1)|143560|239878
Fire Sea (The Death Gate Cycle #3)|134640|246217
The Infinite Sea (The 5th Wave #2)|279124|323850
Mission of Honor (Honor Harrington #12)|141727|239697
Supernatural Academy: Year Three (Supernatural Academy #3)|328617|294021
The Dirty Secrets Club (Jo Beckett #1)|375310|322748
Soul Deep (Breeds #5)|359505|302020
Bone Cold (The Malones #1)|376774|322831
The Scavenger's Daughters (Tales of the Scavenger's Daughters #1)|326699|209421
Bridget Jones: The Edge of Reason (Bridget Jones #2)|286850|230706
MeruPuri, Vol. 3 (MeruPuri #3)|226491|371182
Alle sieben Wellen (Gut gegen Nordwind  #2)|309667|254714
Telling Lies (Sam Mason Mysteries #1)|339894|201635
Halo: Cryptum (Forerunner Saga, #1) (The Forerunner Saga #1)|133462|235457
Wildest Dreams (Thunder Point  #9)|381879|299405
The Gruffalo's Child (Gruffalo #2)|230735|286595
Platinum (Date-A-Dragon #3)|351221|281334
Zero Recall (The Legend of ZERO #2)|141879|222736
Split Second (FBI Thriller #15)|375559|316761
The Note (The Note #1)|322184|201032
Hana's Suitcase: A True Story (Holocaust Remembrance)|244119|299068
Spellcaster (Spellbound #2)|289681|330869
Ruined (Ruined #1)|278019|316196
Virgin River (Virgin River #1)|383151|301545
The End of the Day|320370|247263
Cast in Secret (Chronicles of Elantra #3)|338203|315064
Learn about Loss (Ghosts of the Shadow Market #4)|275111|316461
Death Benefit (Pia Grazdani #1)|194193|248911
Show Me Yours (Hard, Fast & Forever #1)|361206|243495
Good Night Stories for Rebel Girls: 100 Tales of Extraordinary Women (Good Night Stories for Rebel Girls)|256967|301884
The Serpent of Venice (Fool #2)|175203|252630
Big Bad Beast (Pride #6)|357412|300354
The Master (The Game Maker #2)|387837|250214
Athyra (Vlad Taltos #6)|146279|242443
Red Glove (Curse Workers #2)|279633|328415
The Reapers (Charlie Parker #7)|274496|155034
Many Waters (Time Quintet #4)|223203|305237
The Writing Class (Amy Gallup #1)|206227|227732
Naruto, Vol. 42: The Secret of the Mangekyo (Naruto #42)|218307|371105
Knuffle Bunny: A Cautionary Tale (Knuffle Bunny #1)|233830|298195
Little Knife (Grishaverse #2.6)|275555|315624
Wizard's First Rule (Sword of Truth #1)|138601|245301
Bones Don't Lie (Morgan Dane #3)|332734|203840
Wicked Game (Wicked #1)|377066|321878
Charlie Bone and the Castle of Mirrors (The Children of the Red King #4)|237605|328613
Dangerous Minds (Knight and Moon #2)|369338|322858
The Twelve Caesars (The Lives of the Twelve Caesars #1-12)|209561|217855
That Night with My Best Friend's Brother (One Night Stand #1.5)|389951|262539
The Cabin (The Manhattan Stories #3)|328924|208581
By the Shores of Silver Lake (Little House #5)|225403|285076
Drained (Agent Hank Rawlings #1)|338536|199020
Until Ashlyn (Until Him/Her #4)|383512|255148
The Club (The Club #1)|386425|250588
Outlaw Mountain (Joanna Brady #7)|281749|153859
I Know a Secret (Rizzoli & Isles #12)|283906|166576
10th Anniversary (Women's Murder Club #10)|282673|162157
Alcatraz Versus the Knights of Crystallia (Alcatraz vs. the Evil Librarians #3)|237105|329467
Rising Storm (Bluegrass Brothers #2)|377797|268446
Wish List (Donovan Creed #5)|269674|156020
The Sight (The Sight #1)|237101|329892
A Book of Spirits and Thieves (Spirits and Thieves #1)|277727|316310
Bear Meets Girl (Pride #7)|356536|300799
Déjà Dead (Temperance Brennan #1)|284317|159384
While I Live (The Ellie Chronicles #1)|290300|302387
The Salmon of Doubt (Dirk Gently #3)|163643|249324
Shade's Fall (The Last Riders #4)|384102|257619
Working for the Devil|341018|316945
Rafe: A Buff Male Nanny (Loose Ends #1)|267855|303500
Wintertide (The Riyria Revelations #5)|146623|232449
Empire V (Рама II #1)|365448|229532
Imago (Imago #1)|394311|196291
Very Valentine (Valentine #1)|283050|217005
Daughters of the Bride (Los Lobos #3)|382954|295172
The Janissary Tree (Yashim the Eunuch #1)|291290|181145
